File Name,File Size, Creation Time,Modification Time,Access Time,Hash Value(MD5)
"/property/dalvik.vm.dex2oat-resolve-startup-strings",4,,,,B326B5062B2F0E69046810717534CB09
"/property/dalvik.vm.dex2oat-threads",1,,,,1679091C5A880FAF6FB5E6087EB1B2DC
"/property/dalvik.vm.dex2oat64.enabled",4,,,,B326B5062B2F0E69046810717534CB09
"/property/dalvik.vm.dexopt.secondary",4,,,,B326B5062B2F0E69046810717534CB09
"/property/dalvik.vm.dexopt.thermal-cutoff",1,,,,C81E728D9D4C2F636F067F89CC14862C
"/property/dalvik.vm.enable_pr_dexopt",4,,,,B326B5062B2F0E69046810717534CB09
"/property/dalvik.vm.heapgrowthlimit",4,,,,5A5BA4E9E2A5135A77DF2D0FB9F6783C
"/property/dalvik.vm.heapmaxfree",2,,,,20E83D6B922F6900F6BA85D9775F3F70
"/property/dalvik.vm.heapminfree",2,,,,93B47BAF59EA142B485DC22577A56DAC
"/property/dalvik.vm.heapsize",4,,,,E5637F2CFA0F60CFAA02504FCEEC7917
"/property/dalvik.vm.heapstartsize",2,,,,20E83D6B922F6900F6BA85D9775F3F70
"/property/dalvik.vm.heaptargetutilization",4,,,,4C8D9AC7C62B7FBF21FB2F2AE14DD65B
"/property/dalvik.vm.image-dex2oat-Xms",3,,,,45BEEDF227517CE68794ACD6DFF91F25
"/property/dalvik.vm.image-dex2oat-Xmx",3,,,,45BEEDF227517CE68794ACD6DFF91F25
"/property/dalvik.vm.isa.arm.features",7,,,,C21F969B5F03D33D43E04F8F136E7682
"/property/dalvik.vm.isa.arm.variant",10,,,,7C10A6A591A5E704592F52E85065F024
"/property/dalvik.vm.isa.arm64.features",7,,,,C21F969B5F03D33D43E04F8F136E7682
"/property/dalvik.vm.isa.arm64.variant",10,,,,7C10A6A591A5E704592F52E85065F024
"/property/dalvik.vm.madvise.artfile.size",1,,,,CFCD208495D565EF66E7DFF9F98764DA
"/property/dalvik.vm.madvise.odexfile.size",1,,,,CFCD208495D565EF66E7DFF9F98764DA
"/property/dalvik.vm.madvise.vdexfile.size",1,,,,CFCD208495D565EF66E7DFF9F98764DA
"/property/dalvik.vm.minidebuginfo",4,,,,B326B5062B2F0E69046810717534CB09
"/property/dalvik.vm.mtk-stack-trace-file",24,,,,E4094463D11F9C7E90055C2EA77DB09F
"/property/dalvik.vm.pre-reboot.has-started",4,,,,B326B5062B2F0E69046810717534CB09
"/property/dalvik.vm.ps-min-first-save-ms",4,,,,67FF32D40FB51F1A2FD2C4F1B1019785
"/property/dalvik.vm.usap_pool_enabled",5,,,,68934A3E9455FA72420237EB05902327
"/property/dalvik.vm.usap_pool_refill_delay_ms",4,,,,E93028BDC1AACDFB3687181F2031765D
"/property/dalvik.vm.usap_pool_size_max",1,,,,ECCBC87E4B5CE2FE28308FD9F2A7BAF3
"/property/dalvik.vm.usap_pool_size_min",1,,,,C4CA4238A0B923820DCC509A6F75849B
"/property/dalvik.vm.usap_refill_threshold",1,,,,C4CA4238A0B923820DCC509A6F75849B
"/property/dalvik.vm.useartservice",4,,,,B326B5062B2F0E69046810717534CB09
"/property/dalvik.vm.usejit",4,,,,B326B5062B2F0E69046810717534CB09
"/property/debug.atrace.tags.enableflags",1,,,,CFCD208495D565EF66E7DFF9F98764DA
"/property/debug.debuggerd.disable",1,,,,CFCD208495D565EF66E7DFF9F98764DA
"/property/debug.extractor.ignore_version",4,,,,B326B5062B2F0E69046810717534CB09
"/property/debug.force_rtl",5,,,,68934A3E9455FA72420237EB05902327
"/property/debug.hwui.initialize_gl_always",1,,,,C4CA4238A0B923820DCC509A6F75849B
"/property/debug.hwui.skia_tracing_enabled",5,,,,68934A3E9455FA72420237EB05902327
"/property/debug.hwui.skia_use_perfetto_track_events",5,,,,68934A3E9455FA72420237EB05902327
"/property/debug.mi.filter.lut.open",1,,,,CFCD208495D565EF66E7DFF9F98764DA
"/property/debug.modem.phone.init_count",1,,,,C4CA4238A0B923820DCC509A6F75849B
"/property/debug.perfetto.sdk_sysprop_guard_generation",1,,,,CFCD208495D565EF66E7DFF9F98764DA
"/property/debug.renderengine.backend",6,,,,16E1BF2AF9D391BA29B5D10F6AAC2AA6
"/property/debug.renderengine.skia_tracing_enabled",5,,,,68934A3E9455FA72420237EB05902327
"/property/debug.renderengine.skia_use_perfetto_track_events",5,,,,68934A3E9455FA72420237EB05902327
"/property/debug.sf.disable_backpressure",1,,,,C4CA4238A0B923820DCC509A6F75849B
"/property/debug.sf.early.app.duration",8,,,,5ECEADAFBA9F7DF05D245049D9D2DE4E
"/property/debug.sf.early.sf.duration",8,,,,7E4E9CE6217711A4756CD82FF1E38A36
"/property/debug.sf.earlyGl.app.duration",8,,,,5ECEADAFBA9F7DF05D245049D9D2DE4E
"/property/debug.sf.earlyGl.sf.duration",8,,,,7E4E9CE6217711A4756CD82FF1E38A36
"/property/debug.sf.enable_gl_backpressure",1,,,,CFCD208495D565EF66E7DFF9F98764DA
"/property/debug.sf.enable_hwc_vds",1,,,,CFCD208495D565EF66E7DFF9F98764DA
"/property/debug.sf.enable_transaction_tracing",5,,,,68934A3E9455FA72420237EB05902327
"/property/debug.sf.hwc.min.duration",7,,,,805F743866591CB5654B0462E0F5F304
"/property/debug.sf.late.app.duration",8,,,,5ECEADAFBA9F7DF05D245049D9D2DE4E
"/property/debug.sf.late.sf.duration",8,,,,7E4E9CE6217711A4756CD82FF1E38A36
"/property/debug.sf.predict_hwc_composition_strategy",1,,,,CFCD208495D565EF66E7DFF9F98764DA
"/property/debug.sf.set_idle_timer_ms",4,,,,1E6E0A04D20F50967C64DAC2D639A577
"/property/debug.sf.treat_170m_as_sRGB",1,,,,C4CA4238A0B923820DCC509A6F75849B
"/property/debug.sf.use_phase_offsets_as_durations",1,,,,C4CA4238A0B923820DCC509A6F75849B
"/property/debug.stagefright.c2inputsurface",2,,,,6BB61E3B7BCE0931DA574D19D1D82C88
"/property/debug.tp.grip_enable",1,,,,CFCD208495D565EF66E7DFF9F98764DA
"/property/debug.tracing.battery_status",1,,,,C81E728D9D4C2F636F067F89CC14862C
"/property/debug.tracing.device_state",9,,,,0E5CA02D12762489BAB914DDE36EC7BD
"/property/debug.tracing.mcc",3,,,,26337353B7962F533D78C762373B3318
"/property/debug.tracing.mnc",1,,,,C4CA4238A0B923820DCC509A6F75849B
"/property/debug.tracing.plug_type",1,,,,C4CA4238A0B923820DCC509A6F75849B
"/property/debug.tracing.screen_brightness",10,,,,897F5B8ADE9296932B18D22AB3B4CCCB
"/property/debug.tracing.screen_state",1,,,,C81E728D9D4C2F636F067F89CC14862C
"/property/dev.bootcomplete",1,,,,C4CA4238A0B923820DCC509A6F75849B
"/property/dev.mnt.blk.cust",10,,,,FB426DE9766CCCBF933D1CF98ADB4CC7
"/property/dev.mnt.blk.data",10,,,,FB426DE9766CCCBF933D1CF98ADB4CC7
"/property/dev.mnt.blk.data.user.0",10,,,,FB426DE9766CCCBF933D1CF98ADB4CC7
"/property/dev.mnt.blk.data_mirror.cur_profiles",10,,,,FB426DE9766CCCBF933D1CF98ADB4CC7
"/property/dev.mnt.blk.data_mirror.data_ce.null",10,,,,FB426DE9766CCCBF933D1CF98ADB4CC7
"/property/dev.mnt.blk.data_mirror.data_ce.null.0",10,,,,FB426DE9766CCCBF933D1CF98ADB4CC7
"/property/dev.mnt.blk.data_mirror.data_de.null",10,,,,FB426DE9766CCCBF933D1CF98ADB4CC7
"/property/dev.mnt.blk.data_mirror.misc_ce.null",10,,,,FB426DE9766CCCBF933D1CF98ADB4CC7
"/property/dev.mnt.blk.data_mirror.misc_de.null",10,,,,FB426DE9766CCCBF933D1CF98ADB4CC7
"/property/dev.mnt.blk.data_mirror.ref_profiles",10,,,,FB426DE9766CCCBF933D1CF98ADB4CC7
"/property/dev.mnt.blk.data_mirror.storage_area",10,,,,FB426DE9766CCCBF933D1CF98ADB4CC7
"/property/dev.mnt.blk.metadata",10,,,,34BD5E86B664C24AC1836E9124F1E35B
"/property/dev.mnt.blk.mi_ext",10,,,,2DE4579B3B088F25C96ACFABFFDD481B
"/property/dev.mnt.blk.mnt.pre_reboot_dexopt.chroot",0,,,,D41D8CD98F00B204E9800998ECF8427E
"/property/dev.mnt.blk.mnt.pre_reboot_dexopt.chroot.data",0,,,,D41D8CD98F00B204E9800998ECF8427E
"/property/dev.mnt.blk.mnt.pre_reboot_dexopt.chroot.data.user.0",0,,,,D41D8CD98F00B204E9800998ECF8427E
"/property/dev.mnt.blk.mnt.pre_reboot_dexopt.chroot.metadata",0,,,,D41D8CD98F00B204E9800998ECF8427E
"/property/dev.mnt.blk.mnt.pre_reboot_dexopt.chroot.product",0,,,,D41D8CD98F00B204E9800998ECF8427E
"/property/dev.mnt.blk.mnt.pre_reboot_dexopt.chroot.system",0,,,,D41D8CD98F00B204E9800998ECF8427E
"/property/dev.mnt.blk.mnt.pre_reboot_dexopt.chroot.system_ext",0,,,,D41D8CD98F00B204E9800998ECF8427E
"/property/dev.mnt.blk.mnt.pre_reboot_dexopt.chroot.vendor",0,,,,D41D8CD98F00B204E9800998ECF8427E
"/property/dev.mnt.blk.mnt.pre_reboot_dexopt.mount_tmp",0,,,,D41D8CD98F00B204E9800998ECF8427E
"/property/dev.mnt.blk.mnt.rescue",10,,,,FFDE66E959D2F755FAF6A5C65B60D102
"/property/dev.mnt.blk.mnt.vendor.mi_ext",10,,,,2DE4579B3B088F25C96ACFABFFDD481B
"/property/dev.mnt.blk.mnt.vendor.nvcfg",10,,,,D29D45CA70078ABD56E7C3F34BBD26D5
"/property/dev.mnt.blk.mnt.vendor.nvdata",10,,,,D95F60E451D5373080FAF3D6E3A23C27
"/property/dev.mnt.blk.mnt.vendor.persist",10,,,,AD7B811693C693A346412645A5CD8716
"/property/dev.mnt.blk.mnt.vendor.protect_f",10,,,,3257E2F12E5AC343C465B3598DB0F3D6
"/property/dev.mnt.blk.mnt.vendor.protect_s",10,,,,78DEA52300F30D5D47125A1D82655E0F
"/property/dev.mnt.blk.odm_dlkm",10,,,,2DE4579B3B088F25C96ACFABFFDD481B
"/property/dev.mnt.blk.product",10,,,,2DE4579B3B088F25C96ACFABFFDD481B
"/property/dev.mnt.blk.root",10,,,,2DE4579B3B088F25C96ACFABFFDD481B
"/property/dev.mnt.blk.system_dlkm",10,,,,2DE4579B3B088F25C96ACFABFFDD481B
"/property/dev.mnt.blk.system_ext",10,,,,2DE4579B3B088F25C96ACFABFFDD481B
"/property/dev.mnt.blk.vendor",10,,,,2DE4579B3B088F25C96ACFABFFDD481B
"/property/dev.mnt.blk.vendor_dlkm",10,,,,2DE4579B3B088F25C96ACFABFFDD481B
"/property/dev.mnt.dev.cust",5,,,,C7D8AD5A061F407B361D468C311CFAF1
"/property/dev.mnt.dev.data",5,,,,B00CD2321E80C1FCEFEA6153ACEFBF3B
"/property/dev.mnt.dev.data.user.0",5,,,,B00CD2321E80C1FCEFEA6153ACEFBF3B
